IB-Nr.,Titel,Autor,Preis,Exemplare
689,Das Igorlied. Eine Heldendichtung. Der altrussische Text mit der Übertragung von Rainer Maria Rilke und der neurussischen Prosafassung von D. S. Lichatschow,,20,
689,Das Igor-Lied. Eine Heldendichtung. Der altrussische Text mit der Übertragung von Rainer Maria Rilke und der neurussischen Prosafassung von D. S. Lichatschow,,20,
690,Drei Märchen. Das brave Lenchen. Die beiden Schwestern. Hänschen Däumeling. In erster Fassung. Mit kolorierten Federzeichnungen auf 33 Tafeln,,20,
691,Fabuleux,"Schaefer-Ast, Albert",15,
692,Gestalten und Szenen der Peking-Oper. 34 Pinselzeichnungen,"Kuan, Liang",20,2
693,Ausgewählte Gedichte,"Crane, Stephen",8,
695,Winckelmanns Tod. Die Originalberichte,,15,
696,"Das Mondschaf. Eine Auswahl aus den Galgenliedern, Deutsch und englisch","Morgenstern, Christian",8,2
698,Waltharius. Lateinisch und deutsch,EKKEHART I. VON SANKT GALLEN,12,
700,Der Sankt-Annen-Altar,"Huber, Wolf",10,
703,Gedichte,"Gryphius, Andreas",30,
704,Legenden aus Guatemala,"Asturias, Miguel Angel",15,
704,Das Geheimnis des Lord Singelworth. Novellen,,13,
707,Historische Miniaturen. Ausgewählte Erzählungen,"Strindberg, August",5,
707,Hasenbuch,,100,
711,Goethes Mutter. Eine Rede,"Goes, Albrecht",10,
713,Musikalische Poetik,"Strawinsky, Igor",20,
718,Von der Freundschaft,"Montaigne, Michel",10,
719,Huldigung. Droste Eichendorff Schiller,"Hagelstange, Rudolf",7,
720,Ochs und Esel bei der Krippe,"Supervielle, Jules",15,
721,Sommer auf Ischia. 16 Bildtafeln nach Ölgemälden des Künstlers,"Purrmann, Hans",15,
727,Die sechzehn Lohans. Chinesische Steinabreibungen. Eine berühmte Bildnisreihe der chinesisch-buddhistischen Kunst,"Guan, Hsiu",8,
731,Nach vierzig Jahren. Erzählung,"Tolstoj, Lew N.",13,
737,Italienische Gedichte des 20. Jahrhunderts,,15,
741,Las Casas vor Karl V.. Szenen aus der Konquistadorenzeit,"Schneider, Reinhold",5,
745,IKEBANA. Meisterwerke japanischer Blumenkunst auf 16 Farbtafeln,,10,
749,Umbra Vitae. Nachgelassene Gedichte,"Heym, Georg",20,
752,Schachfiguren aus zehn Jahrhunderten,,12,2
757,SAKUNTALA,KALIDASA,10,
760,Kinderzeichnungen aus aller Welt,,25,
765,Poesie des Alltags. Zwanzig farbige Tafeln,,30,
767,Der fromme Spruch. Erzählung,"Stifter, Adalbert",15,
768,Als der Krieg ausbrach. Als der Krieg zu Ende war. Zwei Erzählungen,"Böll, Heinrich",9,3
770,Im Tanzcafe. 29 Zeichnungen,"Kirchner, Ernst Ludwig",25,
771,Kultur und Literatur in Deutschland und Frankreich. Fünf Essays,"Minder, Robert A.",15,
771,Kultur und Literatur in Deutschland und Frankreich. Fünf Essays,"Minder, Robert A.",20,
773,Dshmila,"Aitmatow, Tschingis",10,
774,Der Bilderbrunnen. Drei Erzählungen,"Aime, Marcel",10,
775,DIE BAMBERGER APOKALYPSE,,12,
777,Deutsche Künstler des 20. Jahrhunderts in Selbstbildnissen,,15,
778,Fabeln vom Eros,"Gütersloh, Albert Paris",25,
780,Ringe aus vier Jahrtausenden. Im Schmuckmuseum Pforzheim,,10,
789,Der Minotaurus. 30 graphische Blätter und eine Schlusszeichnung. Mit Katalog der Minotaurus-Darstellungen,"Picasso, Pablo",20,2
790,MÄRCHEN UND FABELN IB 790,,25,2
796,Buch der Freunde,"Hofmannsthal, Hugo",12,
798,Aussprüche und Verse der Zen-Meister,,10,
803,Die späten Gedichte,"Hesse, Hermann",10,3
810,Buckower Elegien und andere Gedichte,"Brecht, Bertolt",15,
813,Edward Lear's Nonsense Verse,"Lear, Edward",25,
828,Je länger ein Blinder lebt. Desto mehr sieht er. Jiddische Sprichwörter,,25,3
843,Ozeanische Totenbeschwörung,,40,
849,Seestern und Tomahawk. Vierzehn Collagen unter Resopal. Zwei Holzschnitte,"Grieshaber, HAP",30,3
852,Liebesgedichte,"Brecht, Bertolt",15,2
853,Ludwig van Beethovens Klaviersonaten. Ein Begleiter für Studierende und Liebhaber,"Fischer, Edwin",30,
854,Mein entblößtes Herz. Tagebücher,"Baudelaire, Charles",20,
860,Koptische Stoffe,,15,
870,Das Leben Buddhas. Ein chinesisches Holzschnittfragment,,20,2
872,BILDNERISCHE ETÜDEN,,8,
875,IKONEN,,10,2
878,Der neu ausgefertigte Jungfer-Hobel,"Beer, Johann",10,2
880,Traum und Lüge Francos. 20 Bildtafeln. Mit einem Gedicht von Picasso,"Picasso, Pablo",10,
881,Das Tal von Lausa und Duron,"Tumler, Franz",10,
883,Baladn. In Wiener Mundart,,20,
889,Über die Frauen. Aphorismen aus dem Werk,"Shaw, Bernard",15,
890,Aus dem Wörterbuch des Teufels,"Bierce, Ambrose",10,
892,Über den König von Preußen. Memoiren,VOLTAIRE,12,2
893,Die Heirat nach der Mode (Sechs Blätter). Ausführliche Erklärung der Hogarthischen Kupferstiche,"Lichtenberg, Georg Christoph",15,
894,Illuminationen,"Rimbaud, Arthur",25,
895,Geschichten vom Herrn B.. 99 Brecht-Anekdoten,,12,
895,GESCHICHTEN VON HERRN B.. 99 Brecht-Anekdoten,,15,
898,Einundzwanzig Sonette,,25,
899,Der Weg zu Dir,,25,3
901,Der alte Seefahrer. Englisch-Deutsch,"Coleridge, Samuel Taylor",20,
907,Von der Freundlichkeit der Welt. Gedichte,"Brecht, Bertolt",10,
910,DIE BRONZETÜR IB 910. Der Sophienkathedrale in Novgorod,,10,
915,Deutsche Romantische Bildteppiche. Aus den Domschätzen zu Halberstadt und Quedlinburg,,15,
930,KINDERZEICHNUNGEN ZU BRECHT IB 930. 34 Tafeln und die Texte,,10,
937,Bohumil Hrabals Lesebuch,,60,
943,Berlin. Der Hof und die Stadt,"Laforgue, Jules",20,
945,Das grosse Nürnberg'sche ABC. Für Kinder in 25 kolorierten Kupfern,,50,
948,Von der Gestalt Natur/ Krafft und Würckung…. Auszug aus der Vollständigen Hauß- und Landbibliothek,"Glorez, Andreas",30,
949,Die Geheimnisse der Schöpfung. Ein Kapitel aus dem kabbalistischen Buche Sohar,"Scholem, Gerschom",60,2
950,Das Frauentrachtenbuch,"Amman, Jost",10,
953,Bühnenbilder und Figurinen zu Jewgeni Schwarz' <<Der Drache>>,"Sagert, Horst",10,2
960,Kupferstiche. 48 Bildtafeln,,10,2
961,Die Wirbelsäulenflöte 1915,"Majakowskij, Wladimir W.",30,
964,Entschuldigen`s. Gezeichnete Aphorismen,"Kobylinski, Szymon",10,
968,Dichter über Bücher,,150,
970,Lucas Cranach der Ältere. Zeichnungen. Einunddreißig farbige Tafeln,,15,
971,Charaktere,THEOPHRAST,8,
981,Heinrich Vogeler. Dir. Gedichte. Mit Vignetten des Autors und einem Nachwort von Heinrich W. Petzet,,,
986,Scherenschnitte,"Runge, Philipp Otto",12,
988,Viola Tricolor. Mit Bildern und Versen,"Pocci, Franz",40,
989,Die Schöne und das Tier. Ein Märchen,Leprince de Beaumont,10,2
990,MEISTERWERKE DER AMARNAKUNST,,10,
990,DIE AMMENUHR. Aus des Knaben Wunderhorn. In Holz geschnitten nach Zeichnungen von Ludwig Richter und anderen Künstlern. Reprint aus 1843. Mit einem Nachwort von Horst Kunze,,50,
991,Die Verschwörung des Fiesko zu Genua. Ein republikanisches Trauerspiel,"Schiller, Friedrich",8,
992,Jorinde und Joringel. Acht Märchen der Brüder Grimm,"GRIMM, Brüder",40,2
996,Der Kaiser und die Hexe,"Hofmannsthal, Hugo",20,2
996,Der Kaiser und die Hexe,"Hofmannsthal, Hugo",25,2
999,Stunden im Garten. Der lahme Knabe. Zwei Idyllen,"Hesse, Hermann",20,
999,Stunden im Garten. Der lahme Knabe. Zwei Idyllen,"Hesse, Hermann",20,2
1000,Das Tagebuch Goethes und Rilkes Sieben Gedichte,,20,3
1001,Die Dame mit dem Einhorn. Mit zwölf Abbildungen der Teppiche 'La Dame a la Licorne' und einem Nachwort von Egon Olessak,"Rilke, Rainer Maria",25,
1003,Hirtengedichte. Lateinisch und in deutscher Übersetzung,,10,
1004,Über die Kunst mit Vögeln zu jagen,,50,
1005,Blätter über den Bauernkrieg,"Kollwitz, Käthe",8,3
1006,Der Raabe,"Poe, Edgar Allan",25,
1007,Commedia dell'Arte,"Riha, Karl",25,2
1009,Liebesgedichte,HAFIS,15,
1010,Römische Elegien. Faksimile der Handschrift Transkription und Überlieferung,,8,
1012,"NESTROY-BREVIER. Worte, Lieder, Szenen",,15,3
1012,Variationen zu jüdischen Volksliedern,"Kaplan, Anatoli L.",12,
1013,Goethes schönste Gedichte,,10,2
1014,Beisetzung in Theresienburg. Erzählung,,8,2
1015,Das Goldene Kloster zu Mandalay,,8,
1018,Der Prophet Jona,,15,
1022,Das Silhouetten-Kabinett. Scherenschnitte und Schattenbilder aus zwei Jahrhunderten,,16,
1025,Der ferne Bach. Eine Rede,"Hildesheimer, Wolfgang",25,
1026,BILDHAUERZEICHNUNGEN IB-1026. Von 15 Künstlern der DDR. 48 Bildtafeln,,,
1027,DEUTSCHE WEIHNACHTSLIEDER,,10,
1029,Prinz Heinrich von Homburg. Ein Schauspiel,"Kleist, Heinrich",20,
1030,"Der Doktor Faust. Ein Tanzpoem, nebst kuriosen Berichten über Teufel, Hexen und Dichtkunst 1847","Heine, Heinrich",12,
1031,Das unbekannte Meisterwerk,,10,
1032,St Brandans wundersame Seefahrt,,10,2
1033,Das Leben des Menschen. Ein Spiel in fünf Bildern,"Andrejew, Leonid",8,
1035,In hora mortis,"Bernhard, Thomas",40,
1037,Eia Popeia Et Cetera. Eine Sammlung alter Wiegenlieder aus dem Volk,"Albus, Anita",20,
1039,TIBETISCHE LIEDER,,12,
1041,ES KOMMT EIN SCHIFF. Gedichte und Bilder zu Weihnachten,,12,
1057,Fritz Kocher's Aufsätze,,15,
1065,Nadja,"Breton, Andre",10,
1067,Wie der Mönch Erasmus geheilet ward,"Samjatin, Jewgenij",12,
1072,Dir. Gedichte,,15,
1073,Des Luftschiffers Gianozzo Seebuch. Almanach für Matrosen wie sie sein sollten,"Paul, Jean",15,
1075,VON DEM FISCHER UN SYNER FRU IB 1075. Ein Märchen nach Philipp Otto Runge mit sieben kolorierten Bildern von Marcus Behmer und einem Nachwort von Beate Jahn. Mit einer Nacherzählung und einem Nachwort von Uwe Johnson,,15,
1077,Zeichnungen. 32 Bildtafeln und ein Anhang mit Briefen,"Beardsley, Aubrey",15,
1078,Irdisches Zeichen,"Zwetajewa, Marina",15,2
1080,Altägyptische Götterfiguren,,10,
1084,LOB DES STEINQUELLS. Klassische koreanische Lyrik,,,
1085,Zeichnungen,"Olbricht, Alexander",10,
1086,Holzschnitte gegen den Krieg. 32 Bildtafeln,"Masereel, Franz",20,
1088,Kleine Kunststücke,"Benjamin, Walter",10,
1090,Drei graphische Folgen. 32 Bildtafeln und Texte des Künstlers,"Beckmann, Max",10,
1092,Heidelberger Totentanz von 1485,,20,2
1098,Die Berg-Azaleen auf dem Hira-Gipfel,"Inoue, Yasushi",,
1101,Die Irren. Die Häftlinge.,"Bernhard, Thomas",25,
1101,Die Irren. Die Häftlinge,"Bernhard, Thomas",25,2
1102,Le Visage De La Paix. Das Antlitz des Friedens,"Eluard, Paul",25,2
1102,Le Visage De La Paix. Das Antlitz des Friedens,"Picasso, Pablo",25,2
1106,Der Spaziergang,"Walser, Robert",30,
1107,Erinnerungen,"Wolkonskaja, Maria",15,
1109,Anekdotenlexikon. Die schönsten Anekdoten,,15,
1111,Das Geheimnis,"Capote, Truman",,
1113,Crainquebille,"France, Anatole",15,
1118,Fritz Kochers Aufsätze,,10,
1120,Briefe zu Werthers Leiden,"Lenz, Jakob Michael Reinhold",24,
1124,Bambusregen. Haiku und Holzschnitte aus dem <<Kageboshishu>>,,10,
1125,Die Reise zum Mond,CYRANO DE BERGERAC,15,
1137,Ausgewählte Gedichte,"Verlaine, Paul",15,
1139,Das Evangelium des Johannes,,16,
1143,Das Jugendtagebuch 1822 – 1824,"Delacroix, Eugene",12,
1148,Mine-Haha oder Über die körperliche Erziehung der jungen Mädchen,"Wedekind, Frank",20,
1149,Skizze zu einer Schilderung Winckelmanns,"Goethe, Johann Wolfgang",18,
1150,Wie soll ich meine Seele halten. Liebesgedichte,"Rilke, Rainer Maria",15,
1151,Bestiarium oder Das Gefolge des Orpheus,"Apollinaire, Guillaume",20,
1153,Weihnachtsbriefe an die Mutter,"Rilke, Rainer Maria",15,
1155,Das Römische Carneval. Mit den farbigen Figurinen von 1789,,14,
1157,Florens. Eichendorffs Jugend. Mit Skizzen zu Eichendorffs Jugendtagebuch,"Kaschnitz, Marie Luise",12,
1158,FRAUEN MIT BLUMEN. Bilder einer polnischen Bäuerin,"Wlodarzewska, Wladyslawa",10,
1170,Die träumenden Knaben. Der weiße Tiertöter,"Kokoschka, Oskar",20,
1171,Ausgewählte Briefe,"Brahms, Johannes",15,2
1180,Kleine Geschichte des Fußballspiels,"Stemmler, Theo",,
1188,Goethe und der Ginkgo. Ein Baum und ein Gedicht,"Unseld, Siegfried",15,2
1189,Geschichte meines Herzens. Briefe an Ernst Wolfgang Behrisch,"Goethe, Johann Wolfgang",15,
1190,Behalte mich ja lieb!. Christianes und Goethes Ehebriefe,,15,
1191,Märchenspiele,"Walser, Robert",20,
1195,Der eherne Reiter. Eine Petersburger Erzählung,"Puschkin, Alexander",15,
1198,Die neue Melusine,"Goethe, Johann Wolfgang",20,
1208,In und nach Worpswede. Gedichte mit Bildern von Heinrich Vogeler,"Rilke, Rainer Maria",10,
1210,Über Verführung. Erotische Gedichte,,15,
1213,Im Silvaland,"Silva, Julio",15,
1213,Im Silvaland,"Cortázar, Julio",15,
1217,Das Antlitz der Muse. Ein Bild und seine Vor-Bilder,"Picasso, Pablo",10,
1231,Stufen des Lebens. Briefe,"Hesse, Hermann",7,
1245,Achte Pythische Ode,PINDAR,20,
1251,Goethe und Tischbein in Rom,,15,
1252,Lob des irdischen Friedens,"Luther, Martin",12,
1258,PICASSO GEHT SPAZIEREN IB 1258. Eine poetische Hommage. Gedichte und Bilder,,,
1265,Goethes späte Liebe. Die Geschichte der Ulrike von Leventzow,"Gersdorff, Dagmar",15,
1275,ZWISCHEN WELT UND WÜSTE. Worte christlicher Araber,,15,
1276,"Tief in angenehmen Abenteuern. Giacomo Casanova über Glück, Liebe und Frauen",,15,
1284,Wo wir uns wohlfühlen. Mitteilungen aus Italien und Poschiavo,,12,
1285,Lichternacht. Weihnachtsgeschichte. Mit einem Essay von Michaela Kopp-Marx,"Roth, Patrick",7,
1299,<<Kunst ist doch das Allerschönste>>. Briefe einer jungen Künstlerin,,10,
1312,"Erleuchte, Dame, unsere Finsternis. Songs, Sonette, Elegien. Zweisprachige Ausgabe","Donne, John",20,
1318,Gaudi in Manhattan. Eine phantastische Erzählung,,20,
1323,Reise zur blauen Stadt,"Tellkamp, Uwe",15,
1334,Das Atelier im Grünen. Henri Matisse – Die Jahre in Issy,"Kropmanns, Peter",,
1376,Gartenlust im Sommer,"Roth, Johannes",,
1386,Venezianische Vignetten,,10,
1389,ES KOMMT EIN SCHIFF. Gedichte und Bilder zu Weihnachten,,8,
1414,Aphorismen,"Ebner-Eschenbach, Marie",,
1421,Tischreden,"Luther, Martin",12,
1489,Goethes Elefanten,"Matauschek, Oliver",10,
2505,WILHELM SCHMID IB 2505,,,
2510,Schlimmstenfalls wird alles gut. Gedichte der Gelassenheit,,,
x,Vom Glück der Freundschaft,,,
x,Meier Helmbrecht,,10,2
x,Das Kopfkissenbuch der Dame Sei Shonagon,SEI SHONAGON,20,
x,Aphorismen,"Ebner-Eschenbach, Marie",10,2
x,Der Passionsaltar IB. Des Meisters Loedewich. In der St. Nikolaikirche zu Kalkar. 36 Bildtafeln,,13,
x,Des Herrn Dr. Jonathan Swifts. Wo nicht unverbesserliche…,"Swift, Jonathan",15,
x,Das Buch vom Tee,"Okakura, Kakuzo",10,2
x,Gedichte und Sprüche,"Rückert, Friedrich",15,
x,Altes Zinn,"Haedeke, Hanns-Ulrich",10,
x,Das Leben Dantes,"Boccaccio, Giovanni",15,
x,Schwanenmärchen,,15,
x,Eine Gutsgeschichte,"Lagerlöf, Selma",12,
x,Briefe Hölderlins,,8,
x,CHINESISCHE MEISTERNOVELLEN IB,,10,
x,ÖSTERREICHISCHE BIBLIOTHEK IM INSEL VERLAG,,20,
x,Slawobulgarische Geschichte,PAISSI VON CHILANDAR,10,
x,Johann Sebastian Bach. Ein verpflichtendes Erbe,"Hindemith, Paul",10,
x,Deutsche Wappenkunst,"Hussmann, Heinrich",50,
x,Je länger ein Blinder lebt. Desto mehr sieht er. Jiddische Sprichwörter,,12,
x,Hieronyma,"Kommerell, Max",15,
x,Fräulein Cornelia,"Cervantes Saavedra, Miguel",15,
x,Bilderbuch ohne Bilder,"Andersen, Hans Christian",10,
x,Über das Marionettentheater. Aufsätze und Anekdoten,"Kleist, Heinrich",10,3
x,Anekdoten von Friedrich dem Grossen,,20,
x,Triest. Theater am Meer,"Krauss, Angela",15,
x,Der seltsame Fall von Dr. Jekyll und Mr. Hyde,"Stevenson, Robert Louis",9,
x,Herzog Ernst von Bayern und von Österreich,,15,
x,Das Mysterium Jesu,"Hille, Peter",20,
