price_id,book_id,amount,imported_price,source,date_added
1,1,,t,,2026-01-26 19:56:38.614712
2,2,,t,,2026-01-26 19:56:38.614712
3,3,50,t,,2026-01-26 19:56:38.614712
4,4,,f,,2026-01-26 19:56:38.614712
5,5,,f,,2026-01-26 19:56:38.614712
6,6,,t,,2026-01-26 19:56:38.614712
7,7,,t,,2026-01-26 19:56:38.614712
8,8,,f,,2026-01-26 19:56:38.614712
9,9,,f,,2026-01-26 19:56:38.614712
10,10,,f,,2026-01-26 19:56:38.614712
11,11,,f,,2026-01-26 19:56:38.614712
12,12,,f,,2026-01-26 19:56:38.614712
13,13,,f,,2026-01-26 19:56:38.614712
14,14,,t,,2026-01-26 19:56:38.614712
15,15,,f,,2026-01-26 19:56:38.614712
16,16,,t,,2026-01-26 19:56:38.614712
17,17,,t,,2026-01-26 19:56:38.614712
18,18,,f,,2026-01-26 19:56:38.614712
19,19,,f,,2026-01-26 19:56:38.614712
20,20,,f,,2026-01-26 19:56:38.614712
21,21,,t,,2026-01-26 19:56:38.614712
22,22,,f,,2026-01-26 19:56:38.614712
23,23,,f,,2026-01-26 19:56:38.614712
24,24,,f,,2026-01-26 19:56:38.614712
25,25,25,f,,2026-01-26 19:56:38.614712
26,26,,f,,2026-01-26 19:56:38.614712
27,27,,t,,2026-01-26 19:56:38.614712
28,28,,f,,2026-01-26 19:56:38.614712
29,29,170,f,,2026-01-26 19:56:38.614712
30,30,,t,,2026-01-26 19:56:38.614712
31,31,50,t,,2026-01-26 19:56:38.614712
32,32,20,f,,2026-01-26 19:56:38.614712
33,33,20,t,,2026-01-26 19:56:38.614712
34,34,25,f,,2026-01-26 19:56:38.614712
35,35,,f,,2026-01-26 19:56:38.614712
36,36,50,t,,2026-01-26 19:56:38.614712
37,37,20,t,,2026-01-26 19:56:38.614712
38,38,20,t,,2026-01-26 19:56:38.614712
39,39,,f,,2026-01-26 19:56:38.614712
40,40,50,f,,2026-01-26 19:56:38.614712
41,41,20,f,,2026-01-26 19:56:38.614712
42,42,60,f,,2026-01-26 19:56:38.614712
43,43,300,t,,2026-01-26 19:56:38.614712
44,44,35,f,,2026-01-26 19:56:38.614712
45,45,40,f,,2026-01-26 19:56:38.614712
46,46,250,f,,2026-01-26 19:56:38.614712
47,47,25,f,,2026-01-26 19:56:38.614712
48,48,30,f,,2026-01-26 19:56:38.614712
49,49,20,t,,2026-01-26 19:56:38.614712
50,50,,t,,2026-01-26 19:56:38.614712
51,51,25,f,,2026-01-26 19:56:38.614712
52,52,,f,,2026-01-26 19:56:38.614712
53,53,40,t,,2026-01-26 19:56:38.614712
54,54,,f,,2026-01-26 19:56:38.614712
55,55,20,t,,2026-01-26 19:56:38.614712
56,56,20,f,,2026-01-26 19:56:38.614712
57,57,,t,,2026-01-26 19:56:38.614712
58,58,,f,,2026-01-26 19:56:38.614712
59,59,,f,,2026-01-26 19:56:38.614712
60,60,,t,,2026-01-26 19:56:38.614712
61,61,,f,,2026-01-26 19:56:38.614712
62,62,,f,,2026-01-26 19:56:38.614712
63,63,,f,,2026-01-26 19:56:38.614712
64,64,,f,,2026-01-26 19:56:38.614712
65,65,,f,,2026-01-26 19:56:38.614712
66,66,,f,,2026-01-26 19:56:38.614712
67,67,,f,,2026-01-26 19:56:38.614712
68,68,,f,,2026-01-26 19:56:38.614712
69,69,,f,,2026-01-26 19:56:38.614712
70,70,,f,,2026-01-26 19:56:38.614712
71,71,,f,,2026-01-26 19:56:38.614712
72,72,,t,,2026-01-26 19:56:38.614712
73,73,,f,,2026-01-26 19:56:38.614712
74,74,,f,,2026-01-26 19:56:38.614712
75,75,,f,,2026-01-26 19:56:38.614712
76,76,,f,,2026-01-26 19:56:38.614712
77,77,,t,,2026-01-26 19:56:38.614712
78,78,,f,,2026-01-26 19:56:38.614712
79,79,,f,,2026-01-26 19:56:38.614712
80,80,,f,,2026-01-26 19:56:38.614712
81,81,,f,,2026-01-26 19:56:38.614712
82,82,,f,,2026-01-26 19:56:38.614712
83,83,,f,,2026-01-26 19:56:38.614712
84,84,,f,,2026-01-26 19:56:38.614712
85,85,,f,,2026-01-26 19:56:38.614712
86,86,,f,,2026-01-26 19:56:38.614712
87,87,,t,,2026-01-26 19:56:38.614712
88,88,,t,,2026-01-26 19:56:38.614712
89,89,,f,,2026-01-26 19:56:38.614712
90,90,,f,,2026-01-26 19:56:38.614712
91,91,,f,,2026-01-26 19:56:38.614712
92,92,,f,,2026-01-26 19:56:38.614712
93,93,,t,,2026-01-26 19:56:38.614712
94,94,,t,,2026-01-26 19:56:38.614712
95,95,,t,,2026-01-26 19:56:38.614712
96,96,,f,,2026-01-26 19:56:38.614712
97,97,,f,,2026-01-26 19:56:38.614712
98,98,,t,,2026-01-26 19:56:38.614712
99,99,,f,,2026-01-26 19:56:38.614712
100,100,,f,,2026-01-26 19:56:38.614712
101,101,,f,,2026-01-26 19:56:38.614712
102,102,,f,,2026-01-26 19:56:38.614712
103,103,,t,,2026-01-26 19:56:38.614712
104,104,,f,,2026-01-26 19:56:38.614712
105,105,,t,,2026-01-26 19:56:38.614712
106,106,,f,,2026-01-26 19:56:38.614712
107,107,,f,,2026-01-26 19:56:38.614712
108,108,,f,,2026-01-26 19:56:38.614712
109,109,,f,,2026-01-26 19:56:38.614712
110,110,,f,,2026-01-26 19:56:38.614712
111,111,,t,,2026-01-26 19:56:38.614712
112,112,,f,,2026-01-26 19:56:38.614712
113,113,,f,,2026-01-26 19:56:38.614712
114,114,,f,,2026-01-26 19:56:38.614712
115,115,,f,,2026-01-26 19:56:38.614712
116,116,,t,,2026-01-26 19:56:38.614712
117,117,,f,,2026-01-26 19:56:38.614712
118,118,,f,,2026-01-26 19:56:38.614712
119,119,,f,,2026-01-26 19:56:38.614712
120,120,,f,,2026-01-26 19:56:38.614712
121,121,,f,,2026-01-26 19:56:38.614712
122,122,,t,,2026-01-26 19:56:38.614712
123,123,,t,,2026-01-26 19:56:38.614712
124,124,,t,,2026-01-26 19:56:38.614712
125,125,,t,,2026-01-26 19:56:38.614712
126,126,,t,,2026-01-26 19:56:38.614712
127,127,,t,,2026-01-26 19:56:38.614712
128,128,,f,,2026-01-26 19:56:38.614712
129,129,,t,,2026-01-26 19:56:38.614712
130,130,,f,,2026-01-26 19:56:38.614712
131,131,,f,,2026-01-26 19:56:38.614712
132,132,,f,,2026-01-26 19:56:38.614712
133,133,,f,,2026-01-26 19:56:38.614712
134,134,,t,,2026-01-26 19:56:38.614712
135,135,,f,,2026-01-26 19:56:38.614712
136,136,,f,,2026-01-26 19:56:38.614712
137,137,,f,,2026-01-26 19:56:38.614712
